,ticketid,subject,description,status_idup,priority_idup,user_id,created_at,Category,application_name,assigned_to,Resolution_notes,Resolution_code,resolved_date,resolution_notes_ITSM,closed_date,resolved_by,feedback
0,1,reset password,I forgot my sap account password.Want to reset it.,3,1,1,2022-10-12 11:15:00,Login,SAP,raghav_it,Click on reset button.A mail will be sent to you for verification.Click on verification.Then set the new password.,1.0,2022-12-07 22:25:12,Go to admin settings and reset password for that user.,2022-12-07 18:45:18,aditya,0.0
1,2,visual studio code,visual studio code licence expired,3,1,2,2022-10-13 00:00:00,Configuration,Visual studio code,arjun,Click on settings click on licence renewal.A renewal will be done by the company for your id and sent to you via email.,2.0,2022-12-07 00:55:03,Renew license,0,0,0.0
2,3,Accidentally Deleted Important Files,I deleted ppt accidentally which is very imporant,2,1,3,2022-10-13 12:15:00,Access,Powerpoint,raghav_it,Check recycle bin.,3.0,2022-10-13 15:00:00,Check cloud if backup was  done as all data is continuously synced,0,0,0.0
3,4,Excel not responding,"Excel hangs or freezes when you launch it, or open an Excel workbook",4,1,4,2022-10-13 13:00:00,Crash,Excel,shubhangi,"If you are on Windows 11 or Windows 10, choose Start > All apps > Windows System > Run. Type Excel /safe in the Run box, and then click OK.",4.0,2022-10-14 00:00:00,"Start Registry editor. To do this, press the Windows key + R to open a Run dialog box. Type regedit.exe and then press OK.",0,0,0.0
4,5,login issue,Unable to login as it shows incorrect login details,2,2,5,2022-10-14 14:15:00,Login,ERP,arjun,Check your username and password input. Check if caps is on.,5.0,2022-10-14 15:06:00,The management will provide you with new username and password as the prevous one is expired,0,0,0.0
5,6,outlook,outlook frozen,3,1,6,2022-10-14 15:00:00,Crash,Outlook,shubhangi,Restart your outlook,6.0,2022-12-07 22:25:38,Check the server connection.,2022-12-07 20:08:18,aditya,0.0
6,7,cant log in to vpn,cant log in to vpn,2,1,7,2022-10-14 16:00:00,Login,VPN,aditya,check your network settings.Check if you are connected to internet.,7.0,2022-12-07 18:50:06,Check the firewall configuration and setup the access,0,aditya,0.0
7,8,unable to access hr_tool page,unable to access hr_tool page,3,2,1,2022-10-14 16:15:00,Login,Hr_tool,raghav_it,check your network settings.Check if you are connected to internet.,8.0,2022-12-07 17:04:10,Server need to be restarted,2022-12-07 17:04:58,raghav_it,0.0
8,9,skype error ,skype crashing,2,2,2,2022-10-14 20:15:00,Crash,Skype,aditya,Restart skype.Restart your computer.,9.0,2022-10-14 20:20:00,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,2022-10-14 20:30:00,akash,0.0
9,10,unable to log in to engineering tool and skype,unable to log in to engineering tool and skype,3,1,4,2022-10-14 20:30:00,Login,Skype,aditya,Make sure that you’re signing in to the correct Skype account. Enter your registered email address on this link to check the correct Skype account that you’re using.,10.0,2022-10-14 20:40:00,We received a lot of concerns same as yours and I would like to inform you that this is a known-issue. Our engineers and developers are now working on it. We’ll let you know once the issue has been fixed.,2022-10-14 22:00:00,Akash,0.0
10,11,unable to disable add ins on outlook,unable to disable add ins on outlook,4,1,5,2022-10-14 20:30:00,Configuration,Outlook,aditya,Open the Microsoft Outlook client.Select “File” > “Options“.Choose “Add-ins”.Uncheck the Add-ins you wish to turn off.,11.0,2022-10-14 20:40:00,Open the Microsoft Outlook client.Select “File” > “Options“.Choose “Add-ins”.Uncheck the Add-ins you wish to turn off.,2022-10-14 20:40:00,Akash,0.0
11,12,engineering tool says not connected and unable to submit reports,engineering tool says not connected and unable to submit reports,3,2,6,2022-10-14 20:30:00,Report,Engineering_tool,aditya,"Try turning off the Wi-Fi on your device, then re-enabling it.",12.0,2022-12-07 17:09:45,Restart the server,2022-12-07 17:13:27,aditya,0.0
12,13,hr_tool site not loading page correctly,hr_tool site not loading page correctly,3,1,3,2022-10-14 20:30:00,Page_not_load,Hr_tool,aditya,Check your wifi connection.Your antivirus might block access to some sites or even all of them.,13.0,2022-10-14 20:40:00,Currently server is down for this tool. Our engineers are working on it.Will let you know once the issue is fixed.,0,0,0.0
13,14,Want to reset the password for outlook,hi I want to reset my outlook password.,4,2,4,2022-10-14 20:40:00,Login,Outlook,aditya,"Go to Microsoft account security and select Password security.Enter your current password, enter your new password, and then select Save.",14.0,2022-10-14 20:41:00,"Go to Microsoft account security and select Password security.Enter your current password, enter your new password, and then select Save.",2022-10-14 20:41:00,Akash,0.0
14,15,unable to open payslips ,"Hi,We are facing Pay slip issue on the production server with the some useru2019s.When they click up on the Salary Statement Link they are getting pay slip I View but there payslip is not getting display.Its not showing any error or any dump u2026its not showing any thing just black..",2,2,5,2022-10-14 20:40:00,Finance,SAP,aditya,Try installing the latest version as previous version had some problems with pdf version.,15.0,2022-10-14 20:50:00,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,2022-10-14 20:50:00,Akash,0.0
15,63,sap crashing,sap crashing ,1,2,1,2022-11-11 19:09:23,Crash,SAP,aditya,0,0.0,0,Assigned to SME,0,0,0.0
16,64,Not able to access ERP,Not able to access ERP,1,2,1,2022-11-12 13:23:52,Access,ERP,aditya,0,0.0,0,Assigned to SME,0,0,0.0
17,65,Sap password reset,Forgot sap password need reset,1,3,1,2022-11-22 20:00:52,Login,SAP,aditya,0,0.0,0,Assigned to SME,0,0,0.0
18,66,Windows account locked,windows account locked need urgently,1,3,2,2022-11-23 16:35:10,Login,Windows,aditya,0,0.0,0,Assigned to SME,0,0,0.0
